									2018 Outcome														2016 Outcome														2014 Outcome														2012 Outcome														2010 Outcome
2018										Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm				Democrat		Republican		Margin of Victory			Base Color			Height in mm
Index	FIPS	County	State	Index	CD	FIPS	County	State	Tot Vote	Dem Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.	Tot Vote	Votes	%	Rep Votes	%	Votes	% (R-D)	Winner	Color		Hex	Base	Z-# Votes	Total Ht.
11	01021	Chilton	AL	11	6	1021	Chilton	AL	13700	2198	16.00%	11498	83.90%	9300	67.90%	R	R4		ff0000	0.618	1	1.6	17731	2996	16.90%	14723	83.00%	11727	66.10%	R	R4		ff0000	0.618	1	1.6	11252	2040	18.10%	9208	81.80%	7168	63.70%	R	R4		ff0000	0.618	1	1.6	16905	4251	25.10%	12624	74.70%	8373	49.50%	R	R3		ff7878	0.618	1	1.6	11230	0	0.00%	11090	98.80%	11090	98.80%	R	R5		990000	0.618	1	1.6
12	01023	Choctaw	AL	12	7	1023	Choctaw	AL	3655	3520	96.30%	0	0.00%	3385	-96.30%	D	B5		80	0.618	1	1.6	4426	4332	97.90%	0	0.00%	4238	-97.90%	D	B5		80	0.618	1	1.6	2653	2608	98.30%	0	0.00%	2563	-98.30%	D	B5		80	0.618	1	1.6	7234	4181	57.80%	3051	42.20%	1130	-15.60%	D	B1		cce5ff	0.618	1	1.6	6219	3486	56.10%	2730	43.90%	756	-12.20%	D	B1		cce5ff	0.618	1	1.6
13	01025	Clarke	AL	13		1025	Clarke	AL	8007	5254	65.60%	2645	33.00%	2609	-32.60%	D	B2		99ccff	0.618	1	1.6	8189	5214	63.70%	2848	34.80%	2366	-28.90%	D	B2		99ccff	0.618	1	1.6	6248	4072	65.20%	2128	34.10%	1944	-31.10%	D	B2		99ccff	0.618	1	1.6	12079	5071	42.00%	6961	57.60%	1890	15.60%	R	R1		ffcccc	0.618	1	1.6	9232	2960	32.10%	5767	62.50%	2807	30.40%	R	R2		ff9999	0.618	1	1.6
14	01027	Clay	AL	14	3	1027	Clay	AL	5382	1051	19.50%	4331	80.50%	3280	60.90%	R	R4		ff0000	0.618	1	1.6	6552	1317	20.10%	5231	79.80%	3914	59.70%	R	R4		ff0000	0.618	1	1.6	4381	983	22.40%	3392	77.40%	2409	55.00%	R	R3		ff7878	0.618	1	1.6	6518	1726	26.50%	4786	73.40%	3060	46.90%	R	R3		ff7878	0.618	1	1.6	5248	1345	25.60%	3899	74.30%	2554	48.70%	R	R3		ff7878	0.618	1	1.6
15	01029	Cleburne	AL	15	3	1029	Cleburne	AL	4415	462	10.50%	3950	89.50%	3488	79.00%	R	R5		990000	0.618	1	1.6	6417	769	12.00%	5644	88.00%	4875	76.00%	R	R4		ff0000	0.618	1	1.6	3808	530	13.90%	3273	86.00%	2743	72.00%	R	R4		ff0000	0.618	1	1.6	6085	938	15.40%	5140	84.50%	4202	69.10%	R	R4		ff0000	0.618	1	1.6	5115	940	18.40%	4166	81.40%	3226	63.10%	R	R4		ff0000	0.618	1	1.6
16	01031	Coffee	AL	16	2	1031	Coffee	AL	15926	4142	26.00%	11754	73.80%	7612	47.80%	R	R3		ff7878	0.618	1	1.6	19881	5917	29.80%	10877	54.70%	4960	24.90%	R	R2		ff9999	0.618	1	1.6	10924	2257	20.70%	8647	79.20%	6390	58.50%	R	R3		ff7878	0.618	1	1.6	19453	4992	25.70%	14437	74.20%	9445	48.60%	R	R3		ff7878	0.618	1	1.6	15158	6472	42.70%	8663	57.20%	2191	14.50%	R	R1		ffcccc	0.618	1	1.6
17	01033	Colbert	AL	17	4	1033	Colbert	AL	20617	6912	33.50%	13694	66.40%	6782	32.90%	R	R2		ff9999	0.618	1	1.6	16995	0	0.00%	16676	98.10%	16357	98.10%	R	R5		990000	0.618	1	1.6	10043	0	0.00%	9835	97.90%	9627	97.90%	R	R5		990000	0.618	1	1.6	22630	9317	41.20%	13306	58.80%	3989	17.60%	R	R1		ffcccc	0.618	1	1.6	16730	8235	49.20%	8486	50.70%	251	1.50%	R	P		ff00ff	0.618	1	1.6
18	01035	Conecuh	AL	18	2	1035	Conecuh	AL	4855	2463	50.70%	2391	49.20%	72	-1.50%	D	P		ff00ff	0.618	1	1.6	6141	3209	52.30%	2889	47.00%	320	-5.20%	D	B1		cce5ff	0.618	1	1.6	4471	2254	50.40%	2214	49.50%	40	-0.90%	D	P		ff00ff	0.618	1	1.6	6402	3439	53.70%	2953	46.10%	486	-7.60%	D	B1		cce5ff	0.618	1	1.6	5168	3167	61.30%	1994	38.60%	1173	-22.70%	D	B2		99ccff	0.618	1	1.6
19	01037	Coosa	AL	19	6	1037	Coosa	AL	4257	1439	33.80%	2814	66.10%	1375	32.30%	R	R2		ff9999	0.618	1	1.6	5106	1766	34.60%	3337	65.40%	1571	30.80%	R	R2		ff9999	0.618	1	1.6	3746	1507	40.20%	2236	59.70%	729	19.50%	R	R1		ffcccc	0.618	1	1.6	5045	2259	44.80%	2781	55.10%	522	10.30%	R	R1		ffcccc	0.618	1	1.6	4197	1722	41.00%	2470	58.90%	748	17.80%	R	R1		ffcccc	0.618	1	1.6
20	01039	Covington	AL	20	2	1039	Covington	AL	11991	2363	19.70%	9617	80.20%	7254	60.50%	R	R4		ff0000	0.618	1	1.6	15108	3759	24.90%	9540	63.10%	5781	38.30%	R	R2		ff9999	0.618	1	1.6	7889	1437	18.20%	6447	81.70%	5010	63.50%	R	R4		ff0000	0.618	1	1.6	15018	3198	21.30%	11793	78.50%	8595	57.20%	R	R3		ff7878	0.618	1	1.6	12150	5028	41.40%	7108	58.50%	2080	17.10%	R	R1		ffcccc	0.618	1	1.6
21	01041	Crenshaw	AL	21	2	1041	Crenshaw	AL	5356	1770	33.00%	3579	66.80%	1809	33.80%	R	R2		ff9999	0.618	1	1.6	6003	2217	36.90%	3287	54.80%	1070	17.80%	R	R1		ffcccc	0.618	1	1.6	4620	1346	29.10%	3271	70.80%	1925	41.70%	R	R3		ff7878	0.618	1	1.6	6246	2070	33.10%	4176	66.90%	2106	33.70%	R	R2		ff9999	0.618	1	1.6	5494	2995	54.50%	2497	45.40%	498	-9.10%	D	B1		cce5ff	0.618	1	1.6
22	01043	Cullman	AL	22	4	1043	Cullman	AL	28624	3359	11.70%	25245	88.20%	21886	76.50%	R	R4		ff0000	0.618	1	1.6	33550	0	0.00%	33239	99.10%	32928	99.10%	R	R5		990000	0.618	1	1.6	17366	0	0.00%	17240	99.30%	17114	99.30%	R	R5		990000	0.618	1	1.6	34119	5108	15.00%	28959	84.90%	23851	69.90%	R	R4		ff0000	0.618	1	1.6	25938	0	0.00%	25673	99.00%	25673	99.00%	R	R5		990000	0.618	1	1.6
23	01045	Dale	AL	23	2	1045	Dale	AL	14233	4261	29.90%	9927	69.70%	5666	39.80%	R	R2		ff9999	0.618	1	1.6	17999	6071	33.70%	8988	49.90%	2917	16.20%	R	R1		ffcccc	0.618	1	1.6	10920	2623	24.00%	8287	75.90%	5664	51.90%	R	R3		ff7878	0.618	1	1.6	18216	5341	29.30%	12846	70.50%	7505	41.20%	R	R3		ff7878	0.618	1	1.6	13964	6835	48.90%	7101	50.90%	266	1.90%	R	P		ff00ff	0.618	1	1.6
24	01047	Dallas	AL	24	7	1047	Dallas	AL	11504	11206	97.40%	0	0.00%	10908	-97.40%	D	B5		80	0.618	1	1.6	15086	14885	98.70%	0	0.00%	14684	-98.70%	D	B5		80	0.618	1	1.6	10150	9955	98.10%	0	0.00%	9760	-98.10%	D	B5		80	0.618	1	1.6	20548	15556	75.70%	4971	24.20%	10585	-51.50%	D	B3		6a5acd	0.618	1	1.6	15644	11015	70.40%	4621	29.50%	6394	-40.90%	D	B3		6a5acd	0.618	1	1.6
25	01049	DeKalb	AL	25	4	1049	DeKalb	AL	21209	3699	17.40%	17469	82.40%	13770	64.90%	R	R4		ff0000	0.618	1	1.6	21018	0	0.00%	20679	98.40%	20340	98.40%	R	R5		990000	0.618	1	1.6	12379	0	0.00%	12134	98.00%	11889	98.00%	R	R5		990000	0.618	1	1.6	23328	6580	28.20%	16729	71.70%	10149	43.50%	R	R3		ff7878	0.618	1	1.6	14635	0	0.00%	14635	100.00%	14635	100.00%	R	R5		990000	0.618	1	1.6
26	01051	Elmore	AL	26	2	1051	Elmore	AL	29371	8292	28.20%	21018	71.60%	12726	43.30%	R	R3		ff7878	0.618	1	1.6	35703	10573	29.60%	20519	57.50%	9946	27.90%	R	R2		ff9999	0.618	1	1.6	20760	4487	21.60%	16244	78.20%	11757	56.60%	R	R3		ff7878	0.618	1	1.6	34948	8896	25.50%	26023	74.50%	17127	49.00%	R	R3		ff7878	0.618	1	1.6	26308	9072	34.50%	17197	65.40%	8125	30.90%	R	R2		ff9999	0.618	1	1.6
27	01053	Escambia	AL	27	1	1053	Escambia	AL	12078	3763	31.20%	8313	68.80%	4550	37.70%	R	R2		ff9999	0.618	1	1.6	10270	0	0.00%	10076	98.10%	9882	98.10%	R	R5		990000	0.618	1	1.6	8980	2578	28.70%	6396	71.20%	3818	42.50%	R	R3		ff7878	0.618	1	1.6	9780	0	0.00%	9660	98.80%	9660	98.80%	R	R5		990000	0.618	1	1.6	8535	0	0.00%	7458	87.40%	7458	87.40%	R	R5		990000	0.618	1	1.6
28	01055	Etowah	AL	28	4	1055	Etowah	AL	34421	9005	26.20%	25387	73.80%	16382	47.60%	R	R3		ff7878	0.618	1	1.6	34642	0	0.00%	33845	97.70%	33048	97.70%	R	R5		990000	0.618	1	1.6	19520	0	0.00%	19119	97.90%	18718	97.90%	R	R5		990000	0.618	1	1.6	41939	12850	30.60%	29002	69.20%	16152	38.50%	R	R2		ff9999	0.618	1	1.6	24887	0	0.00%	24423	98.10%	24423	98.10%	R	R5		990000	0.618	1	1.6
29	01057	Fayette	AL	29	4	1057	Fayette	AL	7355	1493	20.30%	5851	79.60%	4358	59.30%	R	R3		ff7878	0.618	1	1.6	6751	0	0.00%	6692	99.10%	6633	99.10%	R	R5		990000	0.618	1	1.6	5172	0	0.00%	5135	99.30%	5098	99.30%	R	R5		990000	0.618	1	1.6	7769	2239	28.80%	5519	71.00%	3280	42.20%	R	R3		ff7878	0.618	1	1.6	4757	0	0.00%	4696	98.70%	4696	98.70%	R	R5		990000	0.618	1	1.6
30	01059	Franklin	AL	30	4	1059	Franklin	AL	8729	1866	21.40%	6850	78.50%	4984	57.10%	R	R3		ff7878	0.618	1	1.6	9188	0	0.00%	9063	98.60%	8938	98.60%	R	R5		990000	0.618	1	1.6	5268	0	0.00%	5195	98.60%	5122	98.60%	R	R5		990000	0.618	1	1.6	10645	3303	31.00%	7328	68.80%	4025	37.80%	R	R2		ff9999	0.618	1	1.6	6223	0	0.00%	6132	98.50%	6132	98.50%	R	R5		990000	0.618	1	1.6
31	01061	Geneva	AL	31	2	1061	Geneva	AL	8941	1544	17.30%	7365	82.40%	5821	65.10%	R	R4		ff0000	0.618	1	1.6	11249	3537	31.40%	5556	49.40%	2019	17.90%	R	R1		ffcccc	0.618	1	1.6	7308	1138	15.60%	6164	84.30%	5026	68.80%	R	R4		ff0000	0.618	1	1.6	11110	2105	18.90%	8987	80.90%	6882	61.90%	R	R4		ff0000	0.618	1	1.6	9652	4364	45.20%	5275	54.70%	911	9.40%	R	R1		ffcccc	0.618	1	1.6
32	01063	Greene	AL	32	7	1063	Greene	AL	3632	3610	99.40%	0	0.00%	3588	-99.40%	D	B5		80	0.618	1	1.6	4231	4206	99.40%	0	0.00%	4181	-99.40%	D	B5		80	0.618	1	1.6	3029	3020	99.70%	0	0.00%	3011	-99.70%	D	B5		80	0.618	1	1.6	5205	4551	87.40%	653	12.50%	3898	-74.90%	D	B4		0000cd	0.618	1	1.6	4292	3664	85.40%	622	14.50%	3042	-70.90%	D	B4		0000cd	0.618	1	1.6
33	01065	Hale	AL	33	7	1065	Hale	AL	4767	4658	97.70%	0	0.00%	4549	-97.70%	D	B5		80	0.618	1	1.6	5795	5703	98.40%	0	0.00%	5611	-98.40%	D	B5		80	0.618	1	1.6	3818	3763	98.60%	0	0.00%	3708	-98.60%	D	B5		80	0.618	1	1.6	8258	5860	71.00%	2392	29.00%	3468	-42.00%	D	B3		6a5acd	0.618	1	1.6	6354	4242	66.80%	2105	33.10%	2137	-33.60%	D	B2		99ccff	0.618	1	1.6
34	01067	Henry	AL	34	2	1067	Henry	AL	6681	2253	33.70%	4418	66.10%	2165	32.40%	R	R2		ff9999	0.618	1	1.6	7736	3127	40.40%	3464	44.80%	337	4.40%	R	R1		ffcccc	0.618	1	1.6	5086	1701	33.40%	3380	66.50%	1679	33.00%	R	R2		ff9999	0.618	1	1.6	8563	2984	34.80%	5564	65.00%	2580	30.10%	R	R2		ff9999	0.618	1	1.6	6775	3561	52.60%	3194	47.10%	367	-5.40%	D	B1		cce5ff	0.618	1	1.6
35	01069	Houston	AL	35	2	1069	Houston	AL	32131	9957	31.00%	22077	68.70%	12120	37.70%	R	R2		ff9999	0.618	1	1.6	40954	15008	36.60%	18575	45.40%	3567	8.70%	R	R1		ffcccc	0.618	1	1.6	23525	5697	24.20%	17812	75.70%	12115	51.50%	R	R3		ff7878	0.618	1	1.6	41218	12249	29.70%	28942	70.20%	16693	40.50%	R	R3		ff7878	0.618	1	1.6	32625	15026	46.10%	17542	53.80%	2516	7.70%	R	R1		ffcccc	0.618	1	1.6
36	01071	Jackson	AL	36		1071	Jackson	AL	15581	3522	22.60%	12049	77.30%	8527	54.70%	R	R3		ff7878	0.618	1	1.6	20073	4527	22.60%	15520	77.30%	10993	54.80%	R	R3		ff7878	0.618	1	1.6	10193	0	0.00%	7964	78.10%	5759	78.10%	R	R4		ff0000	0.618	1	1.6	19691	6170	31.30%	13493	68.50%	7323	37.20%	R	R2		ff9999	0.618	1	1.6	15214	6900	45.40%	8302	54.60%	1402	9.20%	R	R1		ffcccc	0.618	1	1.6
37	01073	Jefferson	AL	37		1073	Jefferson	AL	244166	146384	60.00%	96484	39.50%	49900	-20.40%	D	B1		cce5ff	0.618	5	5.6	284711	160844	56.50%	122666	43.10%	38178	-13.40%	D	B1		cce5ff	0.618	5	5.6	156182	86724	55.50%	68671	44.00%	18053	-11.60%	D	B1		cce5ff	0.618	3	3.6	298415	163895	54.90%	134172	45.00%	29723	-10.00%	D	B1		cce5ff	0.618	5	5.6	191251	75050	39.20%	113813	59.50%	38763	20.30%	R	R1		ffcccc	0.618	4	4.6
38	01075	Lamar	AL	38	4	1075	Lamar	AL	5357	824	15.40%	4532	84.60%	3708	69.20%	R	R4		ff0000	0.618	1	1.6	5735	0	0.00%	5680	99.00%	5625	99.00%	R	R5		990000	0.618	1	1.6	3426	0	0.00%	3394	99.10%	3362	99.10%	R	R5		990000	0.618	1	1.6	7012	2978	42.50%	4026	57.40%	1048	14.90%	R	R1		ffcccc	0.618	1	1.6	3836	0	0.00%	3797	99.00%	3797	99.00%	R	R5		990000	0.618	1	1.6
39	01077	Lauderdale	AL	39	5	1077	Lauderdale	AL	30804	10288	33.40%	20503	66.60%	10215	33.20%	R	R2		ff9999	0.618	1	1.6	38557	11805	30.60%	26710	69.30%	14905	38.70%	R	R2		ff9999	0.618	1	1.6	20549	0	0.00%	14379	70.00%	8278	70.00%	R	R4		ff0000	0.618	1	1.6	36066	12871	35.70%	23138	64.20%	10267	28.50%	R	R2		ff9999	0.618	1	1.6	27786	11875	42.70%	15881	57.20%	4006	14.40%	R	R1		ffcccc	0.618	1	1.6
40	01079	Lawrence	AL	40	4	1079	Lawrence	AL	11794	3183	27.00%	8605	73.00%	5422	46.00%	R	R3		ff7878	0.618	1	1.6	10796	0	0.00%	10662	98.80%	10528	98.80%	R	R5		990000	0.618	1	1.6	6028	0	0.00%	5944	98.60%	5860	98.60%	R	R5		990000	0.618	1	1.6	13786	4988	36.20%	8773	63.60%	3785	27.50%	R	R2		ff9999	0.618	1	1.6	11532	6263	54.30%	5261	45.60%	1002	-8.70%	D	B1		cce5ff	0.618	1	1.6
41	01081	Lee	AL	41	3	1081	Lee	AL	49314	21002	42.60%	28268	57.30%	7266	14.70%	R	R1		ffcccc	0.618	1	1.6	58170	21148	36.40%	36909	63.50%	15761	27.10%	R	R2		ff9999	0.618	1	1.6	26371	9922	37.60%	16362	62.00%	6440	24.40%	R	R2		ff9999	0.618	1	1.6	53328	20239	38.00%	32968	61.80%	12729	23.90%	R	R2		ff9999	0.618	1	1.6	33701	12316	36.50%	21324	63.30%	9008	26.70%	R	R2		ff9999	0.618	1	1.6
42	01083	Limestone	AL	42	5	1083	Limestone	AL	33527	10343	30.80%	23141	69.00%	12798	38.20%	R	R2		ff9999	0.618	1	1.6	39382	10243	26.00%	29093	73.90%	18850	47.90%	R	R3		ff7878	0.618	1	1.6	20963	0	0.00%	16472	78.60%	12054	78.60%	R	R4		ff0000	0.618	1	1.6	34812	9943	28.60%	24848	71.40%	14905	42.80%	R	R3		ff7878	0.618	1	1.6	25994	9607	37.00%	16361	62.90%	6754	26.00%	R	R2		ff9999	0.618	1	1.6
43	01085	Lowndes	AL	43	7	1085	Lowndes	AL	3908	3831	98.00%	0	0.00%	3754	-98.00%	D	B5		80	0.618	1	1.6	5235	5174	98.80%	0	0.00%	5113	-98.80%	D	B5		80	0.618	1	1.6	3391	3364	99.20%	0	0.00%	3337	-99.20%	D	B5		80	0.618	1	1.6	7191	5681	79.00%	1505	20.90%	4176	-58.10%	D	B3		6a5acd	0.618	1	1.6	5222	3875	74.20%	1343	25.70%	2532	-48.50%	D	B3		6a5acd	0.618	1	1.6
44	01087	Macon	AL	44	3	1087	Macon	AL	7227	5988	82.90%	1235	17.10%	4753	-65.80%	D	B4		0000cd	0.618	1	1.6	9007	7400	82.20%	1600	17.80%	5800	-64.40%	D	B4		0000cd	0.618	1	1.6	5611	4676	83.30%	924	16.50%	3752	-66.90%	D	B4		0000cd	0.618	1	1.6	10092	8378	83.00%	1706	16.90%	6672	-66.10%	D	B4		0000cd	0.618	1	1.6	7497	6244	83.30%	1249	16.70%	4995	-66.60%	D	B4		0000cd	0.618	1	1.6
45	01089	Madison	AL	45	5	1089	Madison	AL	141390	66424	47.00%	74838	52.90%	8414	6.00%	R	R1		ffcccc	0.618	3	3.6	160698	63664	39.60%	96739	60.20%	33075	20.60%	R	R1		ffcccc	0.618	3	3.6	77011	0	0.00%	55356	71.90%	34118	71.90%	R	R4		ff0000	0.618	2	2.6	152522	59558	39.00%	92764	60.80%	33206	21.80%	R	R2		ff9999	0.618	3	3.6	108384	44448	41.00%	63853	58.90%	19405	17.90%	R	R1		ffcccc	0.618	2	2.6
46	01091	Marengo	AL	46	7	1091	Marengo	AL	5423	5269	97.20%	0	0.00%	5115	-97.20%	D	B5		80	0.618	1	1.6	7482	7343	98.10%	0	0.00%	7204	-98.10%	D	B5		80	0.618	1	1.6	4511	4445	98.50%	0	0.00%	4379	-98.50%	D	B5		80	0.618	1	1.6	11162	6784	60.80%	4368	39.10%	2416	-21.60%	D	B2		99ccff	0.618	1	1.6	8736	4986	57.10%	3736	42.80%	1250	-14.30%	D	B1		cce5ff	0.618	1	1.6
47	01093	Marion	AL	47	4	1093	Marion	AL	9855	1273	12.90%	8570	87.00%	7297	74.00%	R	R4		ff0000	0.618	1	1.6	11403	0	0.00%	11283	98.90%	11163	98.90%	R	R5		990000	0.618	1	1.6	6617	0	0.00%	6539	98.80%	6461	98.80%	R	R5		990000	0.618	1	1.6	11968	2558	21.40%	9392	78.50%	6834	57.10%	R	R3		ff7878	0.618	1	1.6	7329	0	0.00%	7218	98.50%	7218	98.50%	R	R5		990000	0.618	1	1.6
48	01095	Marshall	AL	48	4	1095	Marshall	AL	27205	4271	15.70%	22915	84.20%	18644	68.50%	R	R4		ff0000	0.618	1	1.6	30169	0	0.00%	29774	98.70%	29379	98.70%	R	R5		990000	0.618	1	1.6	16657	0	0.00%	16470	98.90%	16283	98.90%	R	R5		990000	0.618	1	1.6	31946	5795	18.10%	26098	81.70%	20303	63.60%	R	R4		ff0000	0.618	1	1.6	22202	0	0.00%	21957	98.90%	21957	98.90%	R	R5		990000	0.618	1	1.6
49	01097	Mobile	AL	49	1	1097	Mobile	AL	133187	60596	45.50%	72498	54.40%	11902	8.90%	R	R1		ffcccc	0.618	3	3.6	111928	0	0.00%	106568	95.20%	101208	95.20%	R	R5		990000	0.618	2	2.6	83285	33580	40.30%	49611	59.60%	16031	19.20%	R	R1		ffcccc	0.618	2	2.6	105206	0	0.00%	102294	97.20%	102294	97.20%	R	R5		990000	0.618	2	2.6	80049	0	0.00%	65923	82.40%	65923	82.40%	R	R5		990000	0.618	2	2.6
