CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
339	13100	Beatrice, NE Micro Area	2	2205275202	22010739	851.462	8.498	40.255234	-96.683453                                                                                                              
376	13180	Beaver Dam, WI Micro Area	2	2268044939	81336171	875.697	31.404	43.429628	-88.701939                                                                                                           
144	13260	Bedford, IN Micro Area	2	1163367162	7122899	449.179	2.75	38.839815	-86.48782                                                                                                                  
198	13340	Bellefontaine, OH Micro Area	2	1187534495	21593254	458.51	8.337	40.387553	-83.766343                                                                                                          
140	13460	Bend, OR Metro Area	1	7815590704	94710204	3017.617	36.568	43.915118	-121.225575                                                                                                               
266	13660	Big Rapids, MI Micro Area	2	1437772998	41736347	555.127	16.114	43.635295	-85.332751                                                                                                           
142	13820	Birmingham-Hoover, AL Metro Area	1	11625222232	196982372	4488.524	76.055	33.402599	-86.729515                                                                                                 
292	13940	Blackfoot, ID Micro Area	2	5422897822	68476532	2093.793	26.439	43.216357	-112.399206                                                                                                          
145	14010	Bloomington, IL Metro Area	1	3064600918	7801224	1183.249	3.012	40.494559	-88.844539                                                                                                           
144	14020	Bloomington, IN Metro Area	1	2019718537	50077032	779.818	19.335	39.241736	-86.671754                                                                                                          
146	14100	Bloomsburg-Berwick, PA Metro Area	1	1588273574	23967601	613.236	9.254	41.040404	-76.461654                                                                                                    
406	14220	Bogalusa, LA Micro Area	2	1734245451	16281952	669.596	6.286	30.852144	-90.046253                                                                                                              
147	14260	Boise City, ID Metro Area	1	30475329803	171010040	11766.591	66.027	43.006648	-116.141909                                                                                                      
206	14300	Bonham, TX Micro Area	2	2307251018	20847065	890.835	8.049	33.591161	-96.104988                                                                                                                
108	14420	Borger, TX Micro Area	2	2298408152	19507502	887.42	7.532	35.837047	-101.362746                                                                                                                
148	14460	Boston-Cambridge-Newton, MA-NH Metro Area	1	9029114828	2654672640	3486.161	1024.975	42.517606	-71.021993                                                                                      
216	14500	Boulder, CO Metro Area	1	1881309466	36493405	726.378	14.09	40.09497	-105.397691                                                                                                               
150	14540	Bowling Green, KY Metro Area	1	4182927267	61820195	1615.037	23.869	37.046824	-86.397041                                                                                                       
500	14740	Bremerton-Silverdale-Port Orchard, WA Metro Area	1	1023372595	442123262	395.126	170.705	47.639595	-122.649634                                                                                 
288	14780	Brenham, TX Micro Area	2	1564854987	45471813	604.194	17.557	30.215075	-96.410272                                                                                                              
120	14820	Brevard, NC Micro Area	2	979930393	5103716	378.353	1.971	35.210103	-82.816666                                                                                                                 
408	14860	Bridgeport-Stamford-Norwalk, CT Metro Area	1	1618659464	549285481	624.968	212.08	41.227413	-73.367061                                                                                         
298	15020	Brookhaven, MS Micro Area	2	1518269800	5291052	586.207	2.043	31.535216	-90.453566                                                                                                             
297	15140	Brownsville, TN Micro Area	2	1380741545	2472509	533.107	0.955	35.586678	-89.282691                                                                                                            
154	15180	Brownsville-Harlingen, TX Metro Area	1	2309341040	996596429	891.642	384.788	26.102923	-97.478958                                                                                              
360	15340	Bucyrus-Galion, OH Micro Area	2	1040619651	2359514	401.786	0.911	40.848524	-82.924783                                                                                                         
160	15380	Buffalo-Cheektowaga, NY Metro Area	1	4053536100	2075733430	1565.079	801.445	43.044371	-78.777335                                                                                              
161	15460	Burlington, IA-IL Micro Area	2	2058845742	77900167	794.925	30.077	40.863823	-91.069976                                                                                                        
268	15500	Burlington, NC Metro Area	1	1096718106	27958505	423.445	10.795	36.043954	-79.400573                                                                                                           
162	15540	Burlington-South Burlington, VT Metro Area	1	3244001619	656739121	1252.516	253.568	44.689117	-73.041171                                                                                       
174	15660	Calhoun, GA Micro Area	2	923182326	5729532	356.443	2.212	34.509667	-84.873862                                                                                                                 
548	15680	California-Lexington Park, MD Metro Area	1	929021301	1050381198	358.697	405.554	38.220289	-76.530384                                                                                          
480	15700	Cambridge, MD Micro Area	2	1400573745	1145353068	540.765	442.223	38.429196	-76.047433                                                                                                         
198	15740	Cambridge, OH Micro Area	2	1352631181	15666081	522.254	6.049	40.056665	-81.497875                                                                                                             
444	15860	Cañon City, CO Micro Area	2	3970664378	2235542	1533.082	0.863	38.45517	-105.424958                                                                                                            
184	15940	Canton-Massillon, OH Metro Area	1	2512088066	24839111	969.923	9.59	40.711051	-81.261468                                                                                                       
163	15980	Cape Coral-Fort Myers, FL Metro Area	1	2023963480	1116067200	781.457	430.916	26.559035	-81.891994                                                                                             
164	16020	Cape Girardeau, MO-IL Metro Area	1	3708446707	73228104	1431.839	28.274	37.325936	-89.762639                                                                                                   
456	16180	Carson City, NV Metro Area	1	374670880	32586219	144.661	12.582	39.15306	-119.747368                                                                                                           
168	16300	Cedar Rapids, IA Metro Area	1	5202765033	29300009	2008.799	11.313	42.086329	-91.631144                                                                                                        
122	16340	Cedartown, GA Micro Area	2	803758612	4681735	310.333	1.808	33.996015	-85.188338                                                                                                               
338	16380	Celina, OH Micro Area	2	1197723422	28440771	462.444	10.981	40.535333	-84.632059                                                                                                               
476	16460	Centralia, IL Micro Area	2	1482865607	9234118	572.538	3.565	38.648236	-88.920362                                                                                                              
500	16500	Centralia, WA Micro Area	2	6223179711	86925423	2402.783	33.562	46.580071	-122.377444                                                                                                          
548	16540	Chambersburg-Waynesboro, PA Metro Area	1	2000245529	1547615	772.299	0.598	39.926772	-77.724521                                                                                                
170	16620	Charleston, WV Metro Area	1	6854414859	56072912	2646.504	21.65	38.355177	-81.620341                                                                                                           
172	16740	Charlotte-Concord-Gastonia, NC-SC Metro Area	1	14495628697	302851379	5596.794	116.932	35.166342	-80.797285                                                                                    
174	16860	Chattanooga, TN-GA Metro Area	1	5410495665	126467844	2089.004	48.83	35.049361	-85.361158                                                                                                      
176	16980	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	1	18635140910	6173126516	7195.068	2383.458	41.823521	-87.828297                                                                                 
198	17060	Chillicothe, OH Micro Area	2	1784986619	9938848	689.187	3.837	39.323897	-83.059536                                                                                                            
178	17140	Cincinnati, OH-KY-IN Metro Area	1	11774658041	219181675	4546.221	84.627	39.099821	-84.480407                                                                                                  
185	17380	Cleveland, MS Micro Area	2	2270541557	75515374	876.661	29.157	33.799139	-90.88412                                                                                                             
174	17420	Cleveland, TN Metro Area	1	1977111874	26866027	763.367	10.373	35.138117	-84.655079                                                                                                            
184	17460	Cleveland-Elyria, OH Metro Area	1	5178438794	5128507540	1999.406	1980.128	41.760392	-81.724217                                                                                                
163	17500	Clewiston, FL Micro Area	2	2994619266	87037213	1156.229	33.605	26.539967	-81.152114                                                                                                           
209	17540	Clinton, IA Micro Area	2	1799818625	39526969	694.914	15.261	41.898073	-90.534243                                                                                                              
188	17580	Clovis, NM Micro Area	2	3640261520	8027146	1405.513	3.099	34.572984	-103.346055                                                                                                               
434	17620	Coamo, PR Micro Area	2	202052324	38061	78.013	0.015	18.1038	-66.357586                                                                                                                        
490	17640	Coco, PR Micro Area	2	179731087	115840728	69.395	44.726	17.971485	-66.262252                                                                                                                  
518	17660	Coeur d'Alene, ID Metro Area	1	3205833848	184447574	1237.779	71.216	47.675966	-116.695922                                                                                                     
310	17740	Coldwater, MI Micro Area	2	1311605515	34420092	506.414	13.29	41.918455	-85.066885                                                                                                             
190	17860	Columbia, MO Metro Area	1	4439509654	45549690	1714.104	17.587	38.986486	-92.585189                                                                                                            
192	17900	Columbia, SC Metro Area	1	9591599178	338696351	3703.337	130.771	34.077585	-81.037845                                                                                                          
194	17980	Columbus, GA-AL Metro Area	1	7216623630	82416597	2786.354	31.821	32.419377	-84.843709                                                                                                         
294	18020	Columbus, IN Metro Area	1	1054009620	6674332	406.955	2.577	39.205843	-85.897999                                                                                                               
200	18060	Columbus, MS Micro Area	2	1309092521	28545194	505.443	11.021	33.471424	-88.439723                                                                                                             
198	18140	Columbus, OH Metro Area	1	12423081966	138975190	4796.579	53.659	39.968562	-82.835911                                                                                                          
148	18180	Concord, NH Micro Area	2	2416153059	57222878	932.882	22.094	43.299579	-71.680041                                                                                                              
458	18220	Connersville, IN Micro Area	2	556901555	366408	215.021	0.141	39.639655	-85.185032                                                                                                             
539	18420	Corinth, MS Micro Area	2	1036110405	3408033	400.044	1.316	34.886569	-88.581109                                                                                                                
122	18460	Cornelia, GA Micro Area	2	716980220	5802042	276.828	2.24	34.634392	-83.525875                                                                                                                 
236	18500	Corning, NY Micro Area	2	3601520291	35040141	1390.555	13.529	42.266725	-77.385525                                                                                                             
204	18580	Corpus Christi, TX Metro Area	1	3967167792	884886248	1531.732	341.657	27.833597	-97.508958                                                                                                    
206	18620	Corsicana, TX Micro Area	2	2614975609	197585893	1009.648	76.288	32.048448	-96.476909                                                                                                          
296	18660	Cortland, NY Micro Area	2	1291815777	7112822	498.773	2.746	42.594039	-76.07624                                                                                                                
440	18700	Corvallis, OR Metro Area	1	1748712549	7740248	675.182	2.989	44.493882	-123.424664                                                                                                             
525	18780	Craig, CO Micro Area	2	12284943819	19803411	4743.244	7.646	40.610864	-108.217154                                                                                                              
294	18820	Crawfordsville, IN Micro Area	2	1307030254	2067987	504.647	0.798	40.040296	-86.892715                                                                                                         
142	18980	Cullman, AL Micro Area	2	1902970816	52525039	734.741	20.28	34.131923	-86.869267                                                                                                               
206	19100	Dallas-Fort Worth-Arlington, TX Metro Area	1	22465626198	862946133	8674.027	333.185	32.849171	-96.970489                                                                                      
174	19140	Dalton, GA Metro Area	1	1644465816	7316659	634.932	2.825	34.796956	-84.856279                                                                                                                 
380	19300	Daphne-Fairhope-Foley, AL Metro Area	1	4117621645	1132980868	1589.823	437.446	30.659218	-87.746067                                                                                            
209	19340	Davenport-Moline-Rock Island, IA-IL Metro Area	1	5878838614	114205478	2269.832	44.095	41.39168	-90.460076                                                                                     
174	19420	Dayton, TN Micro Area	2	816838004	54448370	315.383	21.023	35.60059	-84.949548                                                                                                                 
212	19430	Dayton-Kettering, OH Metro Area	1	3319471878	22271685	1281.655	8.599	39.828854	-84.141813                                                                                                     
290	19460	Decatur, AL Metro Area	1	3290021083	119059621	1270.284	45.969	34.489361	-87.097147                                                                                                            
258	19540	Decatur, IN Micro Area	2	877815499	2693924	338.926	1.04	40.745733	-84.93613                                                                                                                   
422	19660	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	1	4108724164	1079710619	1586.387	416.879	29.1789	-81.189023                                                                                 
216	19740	Denver-Aurora-Lakewood, CO Metro Area	1	21613407404	149583396	8344.984	57.754	39.434789	-104.901073                                                                                           
217	19760	DeRidder, LA Micro Area	2	2997555223	21945878	1157.363	8.473	30.645018	-93.340253                                                                                                             
218	19780	Des Moines-West Des Moines, IA Metro Area	1	9356098870	83568330	3612.41	32.266	41.57705	-93.759712                                                                                            
220	19820	Detroit-Warren-Dearborn, MI Metro Area	1	10079403934	890904274	3891.68	343.98	42.721848	-83.200846                                                                                            
221	19940	Dixon, IL Micro Area	2	1877189067	9732924	724.787	3.758	41.747447	-89.299362                                                                                                                  
222	20020	Dothan, AL Metro Area	1	4444643836	33283078	1716.087	12.851	31.245528	-85.46919                                                                                                               
428	20100	Dover, DE Metro Area	1	1517888728	549776901	586.06	212.27	39.097088	-75.502982                                                                                                                
524	20180	DuBois, PA Micro Area	2	2964714508	23932643	1144.683	9.24	41.000249	-78.473749                                                                                                                
206	20460	Durant, OK Micro Area	2	2341975631	102083435	904.242	39.415	33.964004	-96.264137                                                                                                              
450	20500	Durham-Chapel Hill, NC Metro Area	1	5931305968	154624603	2290.09	59.701	36.060589	-78.989787                                                                                                  
548	20660	Easton, MD Micro Area	2	695561625	539363462	268.558	208.249	38.748349	-76.178476                                                                                                              
408	20700	East Stroudsburg, PA Metro Area	1	1575379455	22872910	608.257	8.831	41.05624	-75.329065                                                                                                       
232	20740	Eau Claire, WI Metro Area	1	4263839760	104081841	1646.278	40.186	44.938672	-91.284322                                                                                                         
233	20780	Edwards, CO Micro Area	2	4362757834	18967056	1684.47	7.323	39.626992	-106.695169                                                                                                              
288	20900	El Campo, TX Micro Area	2	2813117310	21287759	1086.151	8.219	29.27848	-96.229674                                                                                                              
545	21020	Elizabeth City, NC Micro Area	2	1227785818	373504973	474.051	144.211	36.196813	-76.342601                                                                                                     
350	21060	Elizabethtown-Fort Knox, KY Metro Area	1	3083102433	72201165	1190.393	27.877	37.73298	-85.972171                                                                                              
515	21140	Elkhart-Goshen, IN Metro Area	1	1199603973	12434083	463.17	4.801	41.600693	-85.863986                                                                                                         
236	21300	Elmira, NY Metro Area	1	1055038227	8874756	407.353	3.427	42.15528	-76.747179                                                                                                                  
238	21340	El Paso, TX Metro Area	1	14461902958	7482945	5583.772	2.889	31.527394	-105.521333                                                                                                             
240	21500	Erie, PA Metro Area	1	2069551279	1966249000	799.058	759.173	42.117952	-80.096386                                                                                                              
106	21580	Española, NM Micro Area	2	15179590198	91466278	5860.873	35.315	36.509669	-106.693983                                                                                                          
390	21900	Fairmont, WV Micro Area	2	799666879	7161744	308.753	2.765	39.505839	-80.243402                                                                                                                
244	22020	Fargo, ND-MN Metro Area	1	7278210008	26755856	2810.133	10.33	46.914859	-96.960183                                                                                                             
378	22060	Faribault-Northfield, MN Micro Area	2	1284215162	52066242	495.838	20.103	44.350734	-93.298505                                                                                                 
476	22100	Farmington, MO Micro Area	2	1170381746	7216295	451.887	2.786	37.810707	-90.473868                                                                                                             
246	22180	Fayetteville, NC Metro Area	1	4241646488	35598509	1637.709	13.745	35.155986	-78.93185                                                                                                         
456	22280	Fernley, NV Micro Area	2	5183173264	59602530	2001.234	23.013	39.022213	-119.197425                                                                                                            
534	22300	Findlay, OH Micro Area	2	1376125660	6020647	531.325	2.325	41.000471	-83.666034                                                                                                                
220	22420	Flint, MI Metro Area	1	1649653741	32768944	636.935	12.652	43.021077	-83.706372                                                                                                                
368	22620	Forrest City, AR Micro Area	2	1644019105	20027489	634.759	7.733	35.022838	-90.751505                                                                                                          
161	22800	Fort Madison-Keokuk, IA-IL-MO Micro Area	2	4703171968	127526108	1815.905	49.238	40.478345	-91.409363                                                                                          
497	22840	Fort Payne, AL Micro Area	2	2012676480	4121543	777.099	1.591	34.460929	-85.803992                                                                                                             
217	22860	Fort Polk South, LA Micro Area	2	3439290592	35139148	1327.918	13.567	31.110563	-93.18152                                                                                                      
258	23060	Fort Wayne, IN Metro Area	1	2571604180	13044267	992.902	5.036	41.113117	-85.217705                                                                                                            
320	23140	Frankfort, IN Micro Area	2	1049119213	461117	405.067	0.178	40.305944	-86.477567                                                                                                               
336	23180	Frankfort, KY Micro Area	2	1061913380	16270445	410.007	6.282	38.121449	-84.933167                                                                                                             
314	23240	Fredericksburg, TX Micro Area	2	2740729668	9002241	1058.202	3.476	30.325091	-98.941851                                                                                                        
466	23300	Freeport, IL Micro Area	2	1461392067	1350223	564.247	0.521	42.349726	-89.665994                                                                                                               
420	23340	Fremont, NE Micro Area	2	1370269383	36091878	529.064	13.935	41.577008	-96.645853                                                                                                              
534	23380	Fremont, OH Micro Area	2	1057350969	24514231	408.246	9.465	41.355319	-83.142776                                                                                                               
260	23420	Fresno, CA Metro Area	1	15432139300	136609898	5958.383	52.745	36.761006	-119.655019                                                                                                           
273	23500	Gaffney, SC Micro Area	2	1018735996	11711031	393.336	4.522	35.049796	-81.607647                                                                                                               
264	23540	Gainesville, FL Metro Area	1	6069523396	1018865181	2343.456	393.386	29.480706	-82.627467                                                                                                      
122	23580	Gainesville, GA Metro Area	1	1017862667	94017443	392.999	36.3	34.317569	-83.8185                                                                                                              
206	23620	Gainesville, TX Micro Area	2	2265770199	61339004	874.819	23.683	33.639196	-97.210343                                                                                                          
456	23820	Gardnerville Ranchos, NV Micro Area	2	1838170319	72317573	709.722	27.922	38.905129	-119.609019                                                                                                
396	23860	Georgetown, SC Micro Area	2	2107975277	573070698	813.894	221.264	33.417531	-79.296333                                                                                                         
276	23900	Gettysburg, PA Metro Area	1	1343396085	7776214	518.688	3.002	39.869471	-77.21773                                                                                                              
150	23980	Glasgow, KY Micro Area	2	2013003235	36168371	777.225	13.965	36.967571	-85.815497                                                                                                              
104	24020	Glens Falls, NY Metro Area	1	4398795958	204881947	1698.385	79.105	43.44045	-73.636757                                                                                                         
233	24060	Glenwood Springs, CO Micro Area	2	10147900261	28181095	3918.126	10.881	39.509542	-107.667311                                                                                                  
104	24100	Gloversville, NY Micro Area	2	1283234678	96916405	495.46	37.42	43.115609	-74.423678                                                                                                           
206	24180	Granbury, TX Micro Area	2	1089630253	41775740	420.709	16.13	32.430149	-97.831677                                                                                                              
266	24340	Grand Rapids-Kentwood, MI Metro Area	1	6964568619	2888123933	2689.035	1115.111	43.037598	-85.778167                                                                                           
366	24420	Grants Pass, OR Metro Area	1	4244080709	5631820	1638.649	2.174	42.386983	-123.57162                                                                                                           
216	24540	Greeley, CO Metro Area	1	10320918528	82403821	3984.929	31.816	40.555961	-104.383666                                                                                                           
267	24580	Green Bay, WI Metro Area	1	4843349353	2535183858	1870.028	978.84	44.474024	-87.99613                                                                                                          
268	24660	Greensboro-High Point, NC Metro Area	1	5164166165	68541349	1993.896	26.464	36.025204	-79.792633                                                                                               
294	24700	Greensburg, IN Micro Area	2	964946132	1955432	372.568	0.755	39.30598	-85.499831                                                                                                               
272	24780	Greenville, NC Metro Area	1	1689629354	8238588	652.37	3.181	35.59249	-77.372739                                                                                                               
212	24820	Greenville, OH Micro Area	2	1549072768	4244900	598.1	1.639	40.131542	-84.621248                                                                                                               
273	24860	Greenville-Anderson, SC Metro Area	1	7018159384	200250003	2709.727	77.317	34.683709	-82.413423                                                                                                
273	24940	Greenwood, SC Micro Area	2	1177727678	21231559	454.723	8.198	34.155796	-82.127876                                                                                                             
490	25020	Guayama, PR Metro Area	1	327884335	235871052	126.597	91.07	17.979155	-66.069473                                                                                                               
548	25180	Hagerstown-Martinsburg, MD-WV Metro Area	1	2610678017	27260732	1007.988	10.525	39.554433	-77.984594                                                                                           
406	25220	Hammond, LA Metro Area	1	2049482871	136678798	791.31	52.772	30.621531	-90.40663                                                                                                               
260	25260	Hanford-Corcoran, CA Metro Area	1	3600883803	3162664	1390.309	1.221	36.072478	-119.81553                                                                                                      
448	25300	Hannibal, MO Micro Area	2	2348365475	55495729	906.709	21.427	39.664115	-91.579179                                                                                                             
276	25420	Harrisburg-Carlisle, PA Metro Area	1	4200484170	109316016	1621.816	42.207	40.335915	-77.05049                                                                                                 
277	25500	Harrisonburg, VA Metro Area	1	2245851996	10778789	867.128	4.162	38.507585	-78.885321                                                                                                          
278	25540	Hartford-East Hartford-Middletown, CT Metro Area	1	3922845118	238772610	1514.619	92.191	41.71865	-72.573919                                                                                   
279	25620	Hattiesburg, MS Metro Area	1	5241468762	30107898	2023.742	11.625	31.273766	-89.300634                                                                                                         
482	25720	Heber, UT Micro Area	2	7893231457	105745495	3047.594	40.829	40.691398	-111.052766                                                                                                             
450	25780	Henderson, NC Micro Area	2	653713542	42178610	252.4	16.285	36.365481	-78.405434                                                                                                               
496	25980	Hinesville, GA Metro Area	1	2374665905	231741565	916.864	89.476	31.778788	-81.57648                                                                                                           
266	26090	Holland, MI Micro Area	2	2137395807	2610802947	825.253	1008.037	42.595787	-86.634745                                                                                                          
284	26300	Hot Springs, AR Metro Area	1	1755025617	147393195	677.619	56.909	34.578852	-93.146932                                                                                                         
288	26420	Houston-The Woodlands-Sugar Land, TX Metro Area	1	21413036357	3046384726	8267.62	1176.216	29.749593	-95.353642                                                                                
104	26460	Hudson, NY Micro Area	2	1643770776	35071400	634.663	13.541	42.247729	-73.626806                                                                                                               
107	26500	Huntingdon, PA Micro Area	2	2265337398	37851956	874.652	14.615	40.422311	-77.968595                                                                                                           
258	26540	Huntington, IN Micro Area	2	991056705	13133694	382.649	5.071	40.826394	-85.478597                                                                                                             
170	26580	Huntington-Ashland, WV-KY-OH Metro Area	1	6474710090	94526967	2499.9	36.497	38.406577	-82.542646                                                                                              
290	26620	Huntsville, AL Metro Area	1	3526389847	151140377	1361.547	58.356	34.783262	-86.734871                                                                                                         
288	26660	Huntsville, TX Micro Area	2	2031124893	44747191	784.222	17.277	30.743163	-95.569825                                                                                                           
378	26780	Hutchinson, MN Micro Area	2	1272943172	36367409	491.486	14.042	44.821657	-94.272323                                                                                                           
292	26820	Idaho Falls, ID Metro Area	1	13457963274	125284312	5196.149	48.373	43.620423	-112.420919                                                                                                      
430	26860	Indiana, PA Micro Area	2	2142730129	18052433	827.313	6.97	40.651432	-79.087545                                                                                                                
294	26900	Indianapolis-Carmel-Anderson, IN Metro Area	1	11153902628	88473175	4306.546	34.16	39.74867	-86.212382                                                                                         
185	26940	Indianola, MS Micro Area	2	1807187010	23747315	697.759	9.169	33.605529	-90.59509                                                                                                              
168	26980	Iowa City, IA Metro Area	1	3060855999	31468253	1181.803	12.15	41.517806	-91.64793                                                                                                             
361	27020	Iron Mountain, MI-WI Micro Area	2	3235077597	64617589	1249.07	24.949	45.947705	-88.08097                                                                                                      
296	27060	Ithaca, NY Metro Area	1	1229314959	43787671	474.641	16.907	42.453006	-76.473483                                                                                                               
